isbn_livro,posicao,copias_vendidas,mes_ano
978-85-51002-49-0,1,28.087,1//2020
978-85-95083-27-1,2,16.103,1//2020
978-85-68014-00-4,3,15.966,1//2020
978-65-80634-01-9,4,15.728,1//2020
978-85-04018-02-8,5,13.796,1//2020
978-85-76849-94-0,6,13.217,1//2020
978-85-93156-29-8,7,12.160,1//2020
978-85-62409-88-2,8,12.013,1//2020
978-85-35932-95-9,9,11.824,1//2020
978-85-47000-24-0,10,10.827,1//2020
978-85-45202-21-9,11,9.759,1//2020
978-85-35930-91-7,12,9.631,1//2020
978-85-04020-26-7,13,9.295,1//2020
978-85-25432-18-6,14,8.986,1//2020
978-85-50702-91-9,15,8.637,1//2020
978-85-55461-92-7,16,8.381,1//2020
978-85-75422-39-7,17,8.281,1//2020
978-85-42217-48-3,18,8.004,1//2020
978-85-39004-11-9,19,7.913,1//2020
978-85-51004-90-6,20,7.246,1//2020
978-85-51002-49-0,1,19.421,2//2020
978-85-95083-27-1,2,13.540,2//2020
978-85-68014-00-4,3,12.923,2//2020
978-85-76849-94-0,4,10.866,2//2020
978-85-93156-29-8,5,8.477,2//2020
978-65-80634-01-9,6,8.045,2//2020
978-85-47000-24-0,7,7.652,2//2020
978-85-45202-21-9,8,7.642,2//2020
978-85-75422-39-7,9,7.550,2//2020
978-85-04018-02-8,10,7.030,2//2020
978-85-35932-95-9,11,6.422,2//2020
978-85-25432-18-6,12,6.386,2//2020
978-85-55461-92-7,13,5.886,2//2020
978-85-35930-91-7,14,5.843,2//2020
978-85-39004-11-9,15,5.794,2//2020
978-85-62409-88-2,16,5.321,2//2020
978-85-45200-34-5,17,5.144,2//2020
978-85-47000-64-6,18,5.092,2//2020
978-85-51002-93-3,19,5.004,2//2020
978-85-35909-55-5,20,4.907,2//2020
978-85-68014-00-4,1,13.359,3//2020
978-85-51002-49-0,2,11.731,3//2020
978-85-95083-27-1,3,9.033,3//2020
978-85-76849-94-0,4,8.825,3//2020
978-85-93156-29-8,5,7.514,3//2020
978-85-75422-39-7,6,6.905,3//2020
978-85-45202-21-9,7,6.009,3//2020
978-85-42216-81-3,8,5.507,3//2020
978-65-80634-01-9,9,5.360,3//2020
978-85-47000-24-0,10,5.319,3//2020
978-85-25432-18-6,11,4.873,3//2020
978-85-35930-91-7,12,4.460,3//2020
978-85-47000-64-6,13,4.369,3//2020
978-85-50303-62-8,14,4.334,3//2020
978-85-04018-02-8,15,4.268,3//2020
978-85-62409-88-2,16,3.961,3//2020
978-85-42218-75-6,17,3.887,3//2020
978-85-55461-92-7,18,3.815,3//2020
978-85-02218-48-2,19,3.416,3//2020
978-85-42217-48-3,20,3.392,3//2020
978-85-68014-00-4,1,3.054,4//2020
978-85-45203-89-6,2,1.675,4//2020
978-85-93156-82-3,3,1.560,4//2020
978-85-25434-61-6,4,1.433,4//2020
978-65-81438-06-7,5,1.407,4//2020
978-85-94551-72-6,6,1.086,4//2020
978-85-84424-48-1,7,1.043,4//2020
978-85-04020-26-7,8,1.007,4//2020
978-85-44106-59-4,9,783,4//2020
978-85-45202-21-9,10,758,4//2020
978-85-84424-66-5,11,756,4//2020
978-85-44107-01-0,12,733,4//2020
978-85-50801-48-3,13,716,4//2020
978-85-04018-02-8,14,711,4//2020
978-85-65042-89-5,15,707,4//2020
978-85-35930-91-7,16,695,4//2020
978-85-68014-93-6,17,682,4//2020
978-85-51002-49-0,18,661,4//2020
978-85-46502-09-7,20,626,4//2020
978-85-68014-00-4,1,5.962,5//2020
978-85-94551-72-6,2,4.672,5//2020
978-65-80435-49-4,3,4.141,5//2020
978-85-32529-78-7,4,3.043,5//2020
978-85-45203-89-6,5,2.581,5//2020
978-85-95083-27-1,6,2.572,5//2020
978-85-32512-94-9,7,2.546,5//2020
978-85-51002-49-0,8,2.500,5//2020
978-85-45203-90-2,9,2.435,5//2020
978-85-84424-48-1,10,2.124,5//2020
978-85-50801-48-3,11,2.094,5//2020
978-85-20014-14-1,12,2.060,5//2020
978-85-76849-94-0,13,1.941,5//2020
978-85-68014-54-7,15,1.932,5//2020
978-85-95550-31-5,16,1.836,5//2020
978-85-45202-21-9,17,1.774,5//2020
978-85-75422-39-7,18,1.756,5//2020
978-85-42216-81-3,19,1.753,5//2020
978-85-25434-61-6,20,1.744,5//2020
978-85-64463-91-2,1,12.668,6//2020
978-85-45203-86-5,2,9.988,6//2020
978-85-68014-00-4,3,6.460,6//2020
978-85-32512-94-9,4,5.880,6//2020
978-85-32529-78-7,5,3.551,6//2020
978-85-95083-27-1,6,3.406,6//2020
978-65-56670-05-8,7,3.260,6//2020
978-85-76849-94-0,8,3.120,6//2020
978-85-51002-49-0,9,3.109,6//2020
978-85-35932-87-4,10,3.081,6//2020
978-85-35914-84-9,11,2.607,6//2020
978-85-45202-21-9,12,2.481,6//2020
978-85-75422-39-7,13,2.450,6//2020
978-85-39004-11-9,14,2.364,6//2020
