nome,autor,editora,resumo,isbn,categoria,numero_paginas,exemplar,capa
A sutil arte de ligar o foda-se,Mark Manson,Intrínseca,"Mark Manson usa toda a sua sagacidade de escritor e seu olhar crítico para propor um novo caminho rumo a uma vida melhor, mais coerente com a realidade e consciente dos nossos limites. E ele faz isso da melhor maneira. Como um verdadeiro amigo, Mark se senta ao seu lado e diz, olhando nos seus olhos: você não é tão especial. Ele conta umas piadas aqui, dá uns exemplos inusitados ali, joga umas verdades na sua cara e pronto, você já se sente muito mais alerta e capaz de enfrentar esse mundo cão.",978-85-51002-49-0,Autoajuda,224,978-85-51002-49-0,https://www.publishnews.com.br/estaticos/uploads/2017/11/jP6T6kjLLbNOzMJTDuDlFOhovDSzHZUtxHb7PCzHRmA2AnysA7y8PnS031mhbJcl9c1JRa8T2Z8NjQFA.jpg
Do mil ao milhão,Thiago Nigro,HarperCollins,"Em seu primeiro livro, Thiago Nigro, criador da plataforma O Primo Rico, ensina aos leitores os três pilares para atingir a independência financeira: gastar bem, investir melhor e ganhar mais. Por meio de dados e de sua própria experiência como investidor e assessor, Nigro mostra que a riqueza é possível para todos – basta estar disposto a aprender e se dedicar.",978-85-95083-27-1,Negócios,192,978-85-95083-27-1,https://www.publishnews.com.br/estaticos/uploads/2018/12/r45liYDuqOHQRJlKyhGi8KtfeXhwsr60hzkrN1xIHmnI8hyJUJfziDKooYi22JQfFTdopHRumlqknJIq.jpg
Mais esperto que o diabo,Napoleon Hill,Citadel,"Escrito em 1938, após uma das maiores crises econômicas, e precedendo a Segunda Guerra Mundial, este livro não somente é uma fonte de inspiração e coragem, mas deve ser considerado um manual para todas aquelas pessoas que desejam ser mais espertas que seus medos, problemas e limitações, pois, como o próprio Hill fala - em toda adversidade existe uma semente de benefício equivalente. ",978-85-68014-00-4,Autoajuda,200,978-85-68014-00-4,https://www.publishnews.com.br/estaticos/uploads/2021/07/Vgzr5F4Gh4Y0HTGeYaoSimsdVz8uJPebAWx397qktmYwr00d2YDOElgtMJ9QoFAT9LtGKTA3keBzzTDd.jpg
Escravidão -Vol 1,Laurentino Gomes,Globo Livros,"Maior território escravista do hemisfério ocidental, o Brasil recebeu cerca de 5 milhões de cativos africanos, 40% do total embarcado para a América ao longo de três séculos e meio. Como resultado, o país tem hoje a maior população negra do planeta, com exceção apenas da Nigéria. Foi também, entre os países do Novo Mundo, o último a abolir o cativeiro, por meio da Lei Áurea de 1888 — quatro anos depois de Porto Rico e dois depois de Cuba. Nenhum outro assunto é tão importante e tão definidor da nossa identidade nacional quanto a escravidão. Conhecê-lo ajuda a explicar o que fomos no passado, o que somos hoje e também o que seremos daqui para a frente.",978-65-80634-01-9,Não ficção,504,978-65-80634-01-9,https://www.publishnews.com.br/estaticos/uploads/2019/08/3MUsyNs7SBct2qtlqE4dLusDOxtaqueIIzQxgk3mzWvpyCNaCPGKOVuEzakX3QmVo0tOq4gQsSVk4Sf7.jpg
Como fazer amigos e influenciar pessoas,Dale Carnegie,Companhia Editora Nacional,"Em sua 51º edição, com mais de 30 milhões de exemplares vendidos em todo o mundo, Como fazer amigos e influenciar pessoas é considerado um dos principais livros no genêro, influenciando com ótimos conceitos a todos no âmbito pessoal e profissional.",978-85-04018-02-8,Autoajuda,312,978-85-04018-02-8,https://www.publishnews.com.br/estaticos/uploads/2017/01/8CVePscMsGWJAmcD1e4dGwbeVl2SbR44Uw3gw3SVET2YSNqbuMmBudPIHtUvTwlZLxr9NVvfPu8ZEGfB.png
O milagre da manhã,Hal Elrod,BestSeller,"Hal Elrod explica os benefícios de acordar cedo e desenvolver todo o nosso potencial e as nossas habilidades. O Milagre da manhã permite que o leitor alcance níveis de sucesso jamais imaginados, tanto na vida pessoal quanto profissional. A Mudança de hábitos e a nova rotina matinal proposta por Hal vai proporcionar melhorias significativas na saúde, na felicidade, nos relacionamentos, nas finanças, na espiritualidade ou quaisquer outras áreas que necessitem ser aprimoradas.",978-85-76849-94-0,Autoajuda,196,978-85-76849-94-0,https://www.publishnews.com.br/estaticos/uploads/2018/02/A3toxUAg57K2dnqZ4yaxgV8QSRulhgPyNuYHFzaNXfcOFLYtqsy3qFnYAWN84mOubxsw7RqP7hglyrjr.jpg
Seja foda!,Caio Carneiro,Buzz,"Aposto que você quer, no final da sua vida, olhar para trás, bater no peito com o coração cheio de felicidade, sem falsa modéstia, com plena convicção e serenidade, e dizer: minha vida foi FODA. Mas calma, encontrar este livro é só o começo. Agora, você precisa levá-lo com você. Com ele, você vai aprender comportamentos e atitudes necessários para conquistar, em todos os aspectos da sua vida, resultados incríveis.",978-85-93156-29-8,Negócios,208,978-85-93156-29-8,https://www.publishnews.com.br/estaticos/uploads/2017/10/Qie8KitX4klj02vK6FmS4h4xID3TOs8dUVHQZG9TYVayIen3pvV24newzjUDQvTx0GltLkX6Dzr3LNlV.jpg
A garota do lago,Charlie Donlea,Faro Editorial,"Summit Lake, uma pequena cidade entre montanhas, é esse tipo de lugar, bucólico e com encantadoras casas dispostas à beira de um longo trecho de água intocada. Duas semanas atrás, a estudante de direito Becca Eckersley foi brutalmente assassinada em uma dessas casas. Filha de um poderoso advogado, Becca estava no auge de sua vida. Atraída instintivamente pela notícia, a repórter Kelsey Castle vai até a cidade para investigar o caso. E enquanto descobre sobre as amizades de Becca, sua vida amorosa e os segredos que ela guardava, a repórter fica cada vez mais convencida de que a verdade sobre o que aconteceu com Becca pode ser a chave para superar as marcas sombrias de seu próprio passado.",978-85-62409-88-2,Ficção,296,978-85-62409-88-2,https://www.publishnews.com.br/estaticos/uploads/2019/04/o8HmV2jl1OLFJlkjT6qkTFADkYMEeZQ6gxYqaotYVj3B0QJ10S619PZtq6rs9pB9qvqs5Dv2yDwltjlJ.jpg
Essa gente,Chico Buarque,Companhia das Letras,"Um escritor decadente enfrenta uma crise financeira e afetiva enquanto o Rio de Janeiro colapsa à sua volta. Tragicomédia urgente, o novo romance de Chico Buarque é a primeira obra literária de vulto a encarar o Brasil do agora. ",978-85-35932-95-9,Ficção,200,978-85-35932-95-9,https://www.publishnews.com.br/estaticos/uploads/2019/11/iFb0mtMpy2kVDE4Eyq3c3w0jn5QnNsDSynEewUZg7UBAeU4pcgIXPQaIajwLEcr7rgpN54qOYCfsApFe.jpg
Mindset,Carol Dweck,Objetiva,"Carol S. Dweck, professora de psicologia na Universidade Stanford e especialista internacional em sucesso e motivação, desenvolveu, ao longo de décadas de pesquisa, um conceito fundamental: a atitude mental com que encaramos a vida, que ela chama de “mindset”, é crucial para o sucesso. O “mindset” não é um mero traço de personalidade, é a explicação de por que somos otimistas ou pessimistas, bem-sucedidos ou não. É um fator decisivo para que todo o nosso potencial seja explorado.",978-85-47000-24-0,Não ficção,328,978-85-47000-24-0,https://www.publishnews.com.br/estaticos/uploads/2017/02/5HP5wLKxVviJzbc4LUouqhyZuli999P7tLXjPIZ5UlPQSbLMTj5BsgdUiAtbjCRU23PuSuXZmwrgibYJ.jpg
O poder da autorresponsabilidade,Paulo Vieira,Gente,"Muitas pessoas têm consciência de que precisam assumir as rédeas da própria vida, porém não sabem como fazer isso na prática. Este livro traz ao leitor o conceito de autorresponsabilidade. Trata-se de um manual que apresenta a metodologia das 6 leis para a conquista da autorresponsabilidade, de modo que o leitor assuma o comando de sua vida. Aplicando esse conceito, você será capaz de levar alta performance à vida pessoal e profissional, saindo de um estado não satisfatório para uma vida de abundância e de sucesso.",978-85-45202-21-9,Negócios,160,978-85-45202-21-9,https://www.publishnews.com.br/estaticos/uploads/2018/01/AbONUvGHIy8HqrjYtdB2BOvF323DYdrgEvQi5dXk3D2hpJSKrKjjyjUQLgpgG2lP4SxZG1AzKZHegCzT.jpg
21 lições para o século 21,Yuval Noah Harari,Companhia das Letras,"Em Sapiens, Yuval Noah Harari mostrou de onde viemos; em Homo Deus, para onde vamos. 21 lições para o século 21 explora o presente e nos conduz por uma fascinante jornada pelos assuntos prementes da atualidade. Seu novo livro trata sobre o desafio de manter o foco coletivo e individual em face a mudanças frequentes e desconcertantes. Seríamos ainda capazes de entender o mundo que criamos?",978-85-35930-91-7,Não ficção,432,978-85-35930-91-7,https://www.publishnews.com.br/estaticos/uploads/2018/09/XEfqvd9JYoY4oMlkfDzMuUUcPXVQzkLzavWuNDMyprufxSyBG9BAjaS04FOqy5xNzXfKHs08EaUb43wx.jpg
Como fazer amigos e Influenciar pessoas - Edição comemorativa 80 anos,Dale Carnegie,Companhia Editora Nacional,"Não é por acaso que, mais de setenta anos depois de sua primeira edição, depois de mais de 50 milhões de exemplares vendidos, Como fazer amigos e influenciar pessoas segue sendo um livro inovador, e uma das principais referências do mundo sobre relacionamentos, seja no âmbito profissional ou pessoal. Os conselhos, métodos e as ideias de Dale Carnegie já beneficiaram milhões de pessoas, e permanecem completamente atuais. Carnegie fornece, nesse livro, técnicas e métodos, de maneira extremamente direta, para que qualquer pessoa alcance seus objetivos pessoais e profissionais. Esta nova edição contém o texto integral, com um novo design, em formato compacto.",978-85-04020-26-7,Autoajuda,336,978-85-04020-26-7,https://www.publishnews.com.br/estaticos/uploads/2016/12/XMlcuKeL8dcbfDxbw327jeIp28XPQOtnwVndWObwVDpP9TEk4GJFtFxxZMLyJyM9x3rWulgAw9JyvpJW.jpg
